"","x"
"1",3.55077653760413
"2",3.08731941982037
"3",3.20936811070341
"4",3.13488193079101
"5",3.78382043310726
"6",3.26172213868686
"7",3.2951859264691
"8",3.05420699527717
"9",3.08291236333438
"10",4.33461252362884
"11",3.6709481772425
"12",3.86637629699956
"13",3.82055095241511
"14",4.09940216982916
"15",3.58184096101432
"16",3.57007114915095
"17",3.53417213078254
"18",3.62611237001834
"19",4.50476730475615
"20",3.3999160210217
"21",3.47613301529156
"22",4.02541376631024
"23",3.52161732588877
"24",3.48666517893531
"25",3.41013635064641
"26",3.40253372356543
"27",4.42544739094252
"28",3.58811798440352
"29",4.11519993438958
"30",3.54289889779542
"31",3.6209468623552
"32",3.28322242012325
"33",3.559843410882
"34",4.55910154745428
"35",4.00807855586689
"36",3.47140339488225
"37",3.62020581597235
"38",3.50078262535679
"39",3.46646875941498
"40",4.60825452964569
"41",3.65911473720079
"42",3.87154209844088
"43",3.82502048883401
"44",3.80434702018625
"45",4.89576599726743
"46",3.47904612789195
"47",3.41407040056294
"48",3.18937307162395
"49",4.42799822719025
"50",3.18557602954317
"51",3.51858148832736
"52",4.6208483788153
"53",3.2149077296246
"54",4.31063829612274
"55",4.2911346739528
